"source","target","weight","type","rank1","rank2","rank3","rank4","rank5"
"access","histori","0.9982","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","design","0.9470","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","level","0.9500","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Man finds identity theft device on access door to Union City bank - KTVU San Francisco"
"access","site","0.2983","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Ann Brenoff:  How I Spy On My Kids Online"
"access","user","0.7882","undirected","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Facebook users risk identity theft - RT","Jeff Hindenach:  The Most Popular Online Password Is 'Password,' Yet We Blame Our Privacy Problems on Facebook","Program on identity theft set for Tuesday - Times Herald-Record","Facebook users risk identity theft, says famous ex-conman - CBS 21"
"access","speed","0.9880","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","account","0.8165","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig"
"access","devic","0.8868","undirected","Michael Gregg:  Be Careful When Discarding Old Smartphones and Electronics","Robert Siciliano:  Skimming, Identity Theft and How Online Business Defend Against Cybercrime","Program on identity theft set for Tuesday - Times Herald-Record","The two Miami police officers were arrested Thursday - NBC 6 South Florida","Identity theft is taxing problem - Post-Bulletin"
"access","ship","0.9986","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","shop","0.9975","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Adam Levin:  The 10 Dumbest Risks You Can Take With a Smartphone"
"access","medicar","0.9698","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","rank","0.9949","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","websit","0.7399","undirected","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Program on identity theft set for Tuesday - Times Herald-Record","Jeff Hindenach:  The Most Popular Online Password Is 'Password,' Yet We Blame Our Privacy Problems on Facebook"
"access","email","0.9236","undirected","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record"
"access","network","0.9927","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","VyStar Credit Union Expands Partnership with IDentity Theft 911 to Offer ... - PR Web (press release)"
"access","uniqu","0.6752","undirected","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense"
"access","twitter","0.7153","undirected","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record"
"access","comput","0.9233","undirected"," Identity Thieves Just Love Apple","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Program on identity theft set for Tuesday - Times Herald-Record","Elkton woman charged with identity theft, police seek other victims - Cecil Whig"
"access","student","0.9696","undirected","Ex-student admits guilt in ID theft case - U-T San Diego","Identity theft is taxing problem - Post-Bulletin","Three arrested for identity theft profiling - Lodi News-Sentinel","Elkton woman charged with identity theft, police seek other victims - Cecil Whig","Program on identity theft set for Tuesday - Times Herald-Record"
"access","password","0.7179","undirected","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Jeff Hindenach:  The Most Popular Online Password Is 'Password,' Yet We Blame Our Privacy Problems on Facebook","Robert Siciliano:  The Social Media Identity Theft of a School Director Via Twitter","Editorial: Countering ID theft requires better awareness campaigns - Engadget","Identity Theft Is Rampant at Tax Time. Here's How to Avoid It - CNBC.com"
"account","devic","0.9579","undirected","Michael Gregg:  Be Careful When Discarding Old Smartphones and Electronics","Robert Siciliano:  Skimming, Identity Theft and How Online Business Defend Against Cybercrime","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","The two Miami police officers were arrested Thursday - NBC 6 South Florida"
"account","shop","0.9932","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Adam Levin:  The 10 Dumbest Risks You Can Take With a Smartphone","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","LSO Investigating Two Cases of Identity Theft - 1011now","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com"
"account","medicar","0.9601","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","LSO Investigating Two Cases of Identity Theft - 1011now","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","James Berman:  The Five Steps for Financial Fitness"
"account","rank","0.9258","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","LSO Investigating Two Cases of Identity Theft - 1011now","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Robert Siciliano:  The Social Media Identity Theft of a School Director Via Twitter"
"account","rate","0.9924","undirected","ID Theft Not Just Fodder For Wacky Comedies, Also Tops FTC's List Of Most ... - The Consumerist","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","LSO Investigating Two Cases of Identity Theft - 1011now","FTC: Georgia No. 2 in fraud, ID theft complaints - Atlanta Journal Constitution (blog)"
"account","websit","0.5940","undirected","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Jeff Hindenach:  The Most Popular Online Password Is 'Password,' Yet We Blame Our Privacy Problems on Facebook","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Robert Siciliano:  The Social Media Identity Theft of a School Director Via Twitter","Identity Theft Is Rampant at Tax Time. Here's How to Avoid It - CNBC.com"
"account","email","0.8034","undirected","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Jeff Hindenach:  The Most Popular Online Password Is 'Password,' Yet We Blame Our Privacy Problems on Facebook","Avoiding identity theft-related tax refund fraud - Plain Dealer"
"account","refund","0.7959","undirected","FinCEN Warns Banks to Watch for Signs of Identity Theft-Related Tax Fraud - Accounting Today","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Jason Alderman:  Avoiding Tax Refund Identity Fraud","Identity Theft Is Rampant at Tax Time. Here's How to Avoid It - CNBC.com","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)"
"account","uniqu","0.6522","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","LSO Investigating Two Cases of Identity Theft - 1011now","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Jeanne Kelly:  'Spring Forward' to Protect Your Identity"
"account","institut","0.7630","undirected","FinCEN Warns Banks to Watch for Signs of Identity Theft-Related Tax Fraud - Accounting Today","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","LSO Investigating Two Cases of Identity Theft - 1011now","Identity Theft Is Rampant at Tax Time. Here's How to Avoid It - CNBC.com"
"account","equifax","0.9214","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","LSO Investigating Two Cases of Identity Theft - 1011now","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Jeanne Kelly:  'Spring Forward' to Protect Your Identity"
"account","bank","0.6534","undirected"," Bank Card Skimmers Steal Millions","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Sturgis residents victims of identity theft - Rapid City Journal","LSO Investigating Two Cases of Identity Theft - 1011now","ID theft jolts Hatch residents - Las Cruces Sun-News"
"account","insur","0.8732","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","James Berman:  The Five Steps for Financial Fitness","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","LSO Investigating Two Cases of Identity Theft - 1011now","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com"
"account","twitter","0.5589","undirected","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Jeff Hindenach:  The Most Popular Online Password Is 'Password,' Yet We Blame Our Privacy Problems on Facebook","Robert Siciliano:  The Social Media Identity Theft of a School Director Via Twitter","Jeanne Kelly:  'Spring Forward' to Protect Your Identity"
"account","bureau","0.9809","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Jason Alderman:  Fixing Errors on Your Credit Report","LSO Investigating Two Cases of Identity Theft - 1011now","Jeanne Kelly:  Top Tips to Protect Yourself From Identity Theft","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com"
"account","sourc","0.8227","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","LSO Investigating Two Cases of Identity Theft - 1011now","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Protecting Yourself from Identity Theft - KTVO"
"account","person","0.8753","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","State's Attorney: 'Protect Yourself from Identity Theft' - Patch.com","LSO Investigating Two Cases of Identity Theft - 1011now","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Jeff Hindenach:  The Most Popular Online Password Is 'Password,' Yet We Blame Our Privacy Problems on Facebook"
"account","comput","0.9549","undirected"," Identity Thieves Just Love Apple","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","LSO Investigating Two Cases of Identity Theft - 1011now","Identity Theft Is Rampant at Tax Time. Here's How to Avoid It - CNBC.com"
"account","militari","0.9985","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","LSO Investigating Two Cases of Identity Theft - 1011now","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Sturgis residents victims of identity theft - Rapid City Journal"
"account","ident","0.9777","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","Have You Ever Been a Victim of Identity Theft? - Lifehacker","Identity theft reaches three year high - CW39 NewsFix","Keep Your Identity: Catching identity theft early as important as detecting an ... - Naples Daily News","LSO Investigating Two Cases of Identity Theft - 1011now"
"account","credit","0.9478","undirected","Jeanne Kelly:  Top Tips to Protect Yourself From Identity Theft","Jeanne Kelly:  'Spring Forward' to Protect Your Identity","Jason Alderman:  Fixing Errors on Your Credit Report","Jeanne Kelly:  Beware of This Common Creditor Error","New report shows identity theft is on the rise - KGET 17"
"account","employ","0.8557","undirected","Identity Theft Ringleader Gets 12-Year Prison Sentence - Federal Bureau of Investigation (press release)","LSO Investigating Two Cases of Identity Theft - 1011now","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Jeanne Kelly:  'Spring Forward' to Protect Your Identity"
"account","password","0.5639","undirected","Jonathan Rajewski:  Identity Theft -- Your Use of Passwords Could Be Your Only Line of Defense","Jeff Hindenach:  The Most Popular Online Password Is 'Password,' Yet We Blame Our Privacy Problems on Facebook","Robert Siciliano:  The Social Media Identity Theft of a School Director Via Twitter","Identity Theft Is Rampant at Tax Time. Here's How to Avoid It - CNBC.com","Editorial: Countering ID theft requires better awareness campaigns - Engadget"
"address","postal","0.9736","undirected","Contact 6: Avoiding identity theft - fox6now.com","Clinic Corruption: Hospital Identity Theft - KUTV Dan Sheldon (blog)","Contact 6: Identity theft victim shares tips to protect oneself - fox6now.com","FinCEN Warns Banks to Watch for Signs of Identity Theft-Related Tax Fraud - Accounting Today","FUGITIVE FILES Identity Theft - WALA-TV FOX10"
"address","employe","0.8793","undirected","Michael Gregg:  Why Your Medical Records Are No Longer Safe","FinCEN Warns Banks to Watch for Signs of Identity Theft-Related Tax Fraud - Accounting Today","Department of Revenue: 30 People Claim Identity Theft - WLTX.com","Hospital Identity Theft Found at Some South Florida Hospitals - NBC 6 South Florida","Police Blotter: 2 Identity Theft Arrests, Retail Theft, Stolen Wallet - Patch.com"
"address","prescript","0.8539","undirected","Man Accused of Committing ID Theft to Purchase Painkillers - Patch.com","Man Accused of Committing ID Theft to Purchase Painkillers - Patch.com","Yorktown Cops: Man, 29, Faces More Identity Theft Charges - Patch.com","Police Log: Reports of Identity Theft, Assault and Battery - Patch.com","Police Blotter: Identity Theft, No Insurance - Patch.com"
"address","telephon","0.9322","undirected","Colorado identity theft panelist gets identity stolen from work Monday - Denver Post","Member of Hickenlooper's ID theft board falls victim - Colorado Springs Gazette","FinCEN Warns Banks to Watch for Signs of Identity Theft-Related Tax Fraud - Accounting Today","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Providence man sentenced to 2 years in identity-theft scheme - The Providence Journal"
"address","balanc","0.9680","undirected","FinCEN Warns Banks to Watch for Signs of Identity Theft-Related Tax Fraud - Accounting Today","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Jason Alderman:  Avoiding Tax Refund Identity Fraud","Police Blotter: Identity Theft, No Insurance - Patch.com","Police Blotter: Residents Report Identity Theft, Criminal Mischief - Patch.com"
"address","establish","0.6999","undirected","FinCEN Warns Banks to Watch for Signs of Identity Theft-Related Tax Fraud - Accounting Today","Department of Revenue: 30 People Claim Identity Theft - WLTX.com","Tax refunds are vulnerable to identity theft: John Gin's MoneyWatch - NOLA.com","Office manager of Cortland car lot arrested for identity theft - WREX-TV","Police Blotter: Identity Theft, No Insurance - Patch.com"
"address","profil","0.9430","undirected","Facebook users risk identity theft - RT","Facebook users risk identity theft, says famous ex-conman - CBS 21","Jeff Hindenach:  The Most Popular Online Password Is 'Password,' Yet We Blame Our Privacy Problems on Facebook","Russ Warner:  Networkers: LinkedIn and Google+ Users Have a Higher Incidence of Identity Fraud","Providence man sentenced to 2 years in identity-theft scheme - The Providence Journal"
"address","public","0.9190","undirected","College IT Guys Admit Embezzlement, Forgery, Identity Theft - Patch.com","Ashwaubenon Marine recruiter arrested for identity theft, child pornography - WTAQ","FinCEN Warns Banks to Watch for Signs of Identity Theft-Related Tax Fraud - Accounting Today","Police Blotter: Identity Theft, No Insurance - Patch.com","Office manager of Cortland car lot arrested for identity theft - WREX-TV"
"address","bill","0.9866","undirected","Seven charged with identity theft inside Davis County Jail - StandardNet","Iowa House OKs Bill Making Identity Theft a Felony - KCRG","New reports show identity theft increasing - WPXI Pittsburgh","FinCEN Warns Banks to Watch for Signs of Identity Theft-Related Tax Fraud - Accounting Today","Protecting yourself against fast growing crime of identity theft - WATE-TV"
"address","photo","0.9140","undirected","Ashwaubenon Marine recruiter arrested for identity theft, child pornography - WTAQ","FinCEN Warns Banks to Watch for Signs of Identity Theft-Related Tax Fraud - Accounting Today","Bellevue police arrest 5 in identity theft ring - KIRO Seattle","Office manager of Cortland car lot arrested for identity theft - WREX-TV","Former bank worker faces computer, ID theft charges - Fairfield Citizen"
